Track URI;Track Name;Artist URI(s);Artist Name(s);Album URI;Album Name;Album Artist URI(s);Album Artist Name(s);Album Release Date;Album Image URL
spotify:track:4KPq1367Nd9DtkmSmPsycY;Matthew & Son - Stereo Version;spotify:artist:08F3Y3SctIlsOEmKd6dnH8;Yusuf / Cat Stevens;spotify:album:1EOnmB8FWY9Fn8p7RrRxkx;Matthew & Son;spotify:artist:08F3Y3SctIlsOEmKd6dnH8;Yusuf / Cat Stevens;1967-03-10;https://i.scdn.co/image/ab67616d0000b27335547b2b824396ad0bcb93bf
spotify:track:0GmtIUZe8STZOT6jDBC69l;Heaven & Hell - US Single Version;spotify:artist:1pJEZXU2hJApJW3rM7LmMu;The Easybeats;spotify:album:7kV1uhqaH7vVBZ0QTPVZxx;Friday On My Mind;spotify:artist:1pJEZXU2hJApJW3rM7LmMu;The Easybeats;1967-01-01;https://i.scdn.co/image/ab67616d0000b273230360dd1500f5783b646ae1
spotify:track:5jWZR3cKUChstrHpNnTPCS;You Are The Sunshine Of My Life;spotify:artist:7guDJrEfX3qb6FEbdPA5qi;Stevie Wonder;spotify:album:5x7vXXWapy8cUmdSuwpUy1;Number 1's;spotify:artist:7guDJrEfX3qb6FEbdPA5qi;Stevie Wonder;2007-01-01;https://i.scdn.co/image/ab67616d0000b27367daf4d855cb184bb2e98a58
spotify:track:1mXVgsBdtIVeCLJnSnmtdV;Too Good At Goodbyes;spotify:artist:2wY79sveU1sp5g7SokKOiI;Sam Smith;spotify:album:3TJz2UBNYJtlEly0sPeNrQ;The Thrill Of It All (Special Edition);spotify:artist:2wY79sveU1sp5g7SokKOiI;Sam Smith;2017-11-03;https://i.scdn.co/image/ab67616d0000b273005cd7d0ae87b081601f6cca
spotify:track:6rBgZvSsyJrk5ZXtKc8mcf;You're the One;spotify:artist:6nKqt1nbSBEq3iUXD1Xgz8;Petula Clark;spotify:album:4oa2hZ1r8L8Egf9ec6ncCM;The Classic Collection;spotify:artist:6nKqt1nbSBEq3iUXD1Xgz8;Petula Clark;1997-01-01;https://i.scdn.co/image/ab67616d0000b2731c351eff600b34d196abcc9f
spotify:track:4UMTp91LHhvW33ol9ZQH0Q;We Made You;spotify:artist:7dGJo4pcD2V6oG8kP0tJRR;Eminem;spotify:album:7MZzYkbHL9Tk3O6WeD4Z0Z;Relapse: Refill;spotify:artist:7dGJo4pcD2V6oG8kP0tJRR;Eminem;2009-05-15;https://i.scdn.co/image/ab67616d0000b273506c4cc93e5a6234164125e1
spotify:track:6FmtB3SLE6eqb24VfMnH4z;Round Round;spotify:artist:7rZNSLWMjTbwdLNskFbzFf;Sugababes;spotify:album:38oLAYrpyuLO8RchXHUzyz;Angels With Dirty Faces (International version);spotify:artist:7rZNSLWMjTbwdLNskFbzFf;Sugababes;2002-01-01;https://i.scdn.co/image/ab67616d0000b273571a0110e7bc2452980c5f8d
spotify:track:1lItf5ZXJc1by9SbPeljFd;Juju on That Beat (TZ Anthem);spotify:artist:7nKeLE1toRtW4M279iS26h, spotify:artist:5AsWcQXw4RJFRWBbwa0ti0;Zay Hilfigerrr, Zayion McCall;spotify:album:5sQTfUX9uSwfCtPiYGO20V;Juju on That Beat (TZ Anthem);spotify:artist:7nKeLE1toRtW4M279iS26h, spotify:artist:5AsWcQXw4RJFRWBbwa0ti0;Zay Hilfigerrr, Zayion McCall;2016-09-30;https://i.scdn.co/image/ab67616d0000b273186678fe32d915298c28d576
spotify:track:0WfKDYeUAoLA3vdvLKKWMW;Poker Face;spotify:artist:1HY2Jd0NmPuamShAr6KMms;Lady Gaga;spotify:album:2FBA8NCSuQNi8jaR2Xjbal;The Fame;spotify:artist:1HY2Jd0NmPuamShAr6KMms;Lady Gaga;2008-01-01;https://i.scdn.co/image/ab67616d0000b273eb8bbcc15130ec9f01aa204c
spotify:track:3q2gRjU2UdOYRDY1p4cNHr;It Must Be Love;spotify:artist:4AYkFtEBnNnGuoo8HaHErd;Madness;spotify:album:5TdKeSLPSowWxKkenaEK04;7;spotify:artist:4AYkFtEBnNnGuoo8HaHErd;Madness;1981-10-02;https://i.scdn.co/image/ab67616d0000b2730ffc657dc879af805c0534a5
spotify:track:2RMeGXGofxpGolBUyvTnZf;The Wild Colonial Boy;spotify:artist:2Mhi3jfuRSdbVZPdjqsnnN;Dr. Hook;spotify:album:4z6lzPnxVfkCibGIbPuIuu;Timeless;spotify:artist:2Mhi3jfuRSdbVZPdjqsnnN;Dr. Hook;2015-04-17;https://i.scdn.co/image/ab67616d0000b273eff2b78ab68ae2e8bd8655b3
spotify:track:6j4cO3gMhTuG9GTmdUX7op;You Talk Too Much;spotify:artist:25q0j1r1m5UM8GwFPLcopw;Joe Jones;spotify:album:4JDH8EfRq4DZNqkY42IW8Y;You Talk Too Much - The Best Of;spotify:artist:25q0j1r1m5UM8GwFPLcopw;Joe Jones;2010-07-01;https://i.scdn.co/image/ab67616d0000b27310b07269f1bfc2305f1472c7
spotify:track:2YGFjCtEo5hhNutCO8RdQf;Can't Get Enough Of You Baby;spotify:artist:2iEvnFsWxR0Syqu2JNopAd;Smash Mouth;spotify:album:44zMHQz2GkFUEifL4DuDNY;All Star Smash Hits;spotify:artist:2iEvnFsWxR0Syqu2JNopAd;Smash Mouth;2005-01-01;https://i.scdn.co/image/ab67616d0000b2730ce3b69f5e3f67cebe3ed3c1
spotify:track:1Co9NGodpCCvWuIfe0PzIS;One In A Million;spotify:artist:1fTCSmuwhEaa6J6Hjq8xmi, spotify:artist:28w7CgAcq1WLbkQfz795SN;Jordie Ireland, Ava Hayz;spotify:album:68SzmgbXOVkYdNvvt6lpRW;One In A Million;spotify:artist:1fTCSmuwhEaa6J6Hjq8xmi;Jordie Ireland;2018-05-04;https://i.scdn.co/image/ab67616d0000b273407da20b8c124dbf6eddc7e1
